ダウンロードした時刻：2022/05/18 10:08:04

,東京,東京,東京,東京,東京,東京,東京
年月日,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃)
,,現象なし情報,品質情報,均質番号,,品質情報,均質番号
2021/1/16,0,1,8,1,10.0,8,1
2021/1/17,0,1,8,1,6.1,8,1
2021/1/18,0,1,8,1,4.3,8,1
2021/1/19,0,1,8,1,4.4,8,1
2021/1/20,0,1,8,1,3.9,8,1
2021/1/21,0,1,8,1,4.8,8,1
2021/1/22,0,1,8,1,8.7,8,1
2021/1/23,19.0,0,8,1,6.4,8,1
2021/1/24,13.0,0,8,1,4.3,8,1
2021/1/25,1.5,0,8,1,7.6,8,1
2021/1/26,0,1,8,1,7.5,8,1
2021/1/27,1.0,0,8,1,10.3,8,1
2021/1/28,9.0,0,8,1,4.4,8,1
2021/1/29,0,1,8,1,5.3,8,1
2021/1/30,0,1,8,1,4.1,8,1
2021/1/31,0,1,8,1,5.4,8,1
2021/2/1,0.0,0,8,1,7.2,8,1
2021/2/2,12.0,0,8,1,8.8,8,1
2021/2/3,0,1,8,1,6.2,8,1
2021/2/4,0,1,8,1,7.0,8,1
2021/2/5,0,1,8,1,7.1,8,1
2021/2/6,0,1,8,1,8.9,8,1
2021/2/7,0.0,0,8,1,9.9,8,1
2021/2/8,0,1,8,1,6.1,8,1
2021/2/9,0,1,8,1,4.7,8,1
2021/2/10,0,1,8,1,6.7,8,1
2021/2/11,0,1,8,1,8.7,8,1
2021/2/12,0,1,8,1,7.8,8,1
2021/2/13,0,1,8,1,10.4,8,1
2021/2/14,0,1,8,1,12.3,8,1
2021/2/15,76.5,0,8,1,11.4,8,1
2021/2/16,0,1,8,1,10.6,8,1
2021/2/17,0.0,0,8,1,7.6,8,1
2021/2/18,0,1,8,1,4.3,8,1
2021/2/19,0,1,8,1,6.9,8,1
2021/2/20,0,1,8,1,10.2,8,1
2021/2/21,0,1,8,1,13.9,8,1
2021/2/22,0,1,8,1,14.9,8,1
2021/2/23,0,1,8,1,11.0,8,1
2021/2/24,0,1,8,1,6.4,8,1
2021/2/25,0,1,8,1,6.6,8,1
2021/2/26,0,1,8,1,8.7,8,1
2021/2/27,0,1,8,1,5.7,8,1
2021/2/28,0,1,8,1,6.6,8,1
2021/3/1,0.5,0,8,1,11.8,8,1
2021/3/2,9.5,0,8,1,13.5,8,1
2021/3/3,0,1,8,1,7.4,8,1
2021/3/4,0,1,8,1,9.0,8,1
2021/3/5,2.0,0,8,1,11.8,8,1
2021/3/6,0.5,0,8,1,13.8,8,1
2021/3/7,0,1,8,1,7.8,8,1
2021/3/8,5.5,0,8,1,6.6,8,1
2021/3/9,0.0,0,8,1,9.6,8,1
2021/3/10,0,1,8,1,12.0,8,1
2021/3/11,0,1,8,1,9.9,8,1
2021/3/12,0.0,0,8,1,12.7,8,1
2021/3/13,65.0,0,8,1,11.1,8,1
2021/3/14,0,1,8,1,12.5,8,1
2021/3/15,0,1,8,1,12.9,8,1
2021/3/16,0,1,8,1,14.5,8,1
2021/3/17,0,1,8,1,13.7,8,1
2021/3/18,0,1,8,1,12.3,8,1
2021/3/19,0,1,8,1,12.9,8,1
2021/3/20,0.0,0,8,1,14.1,8,1
2021/3/21,46.5,0,8,1,16.7,8,1
2021/3/22,0.5,0,8,1,12.1,8,1
2021/3/23,0.0,0,8,1,10.8,8,1
2021/3/24,0,1,8,1,13.8,8,1
2021/3/25,0.5,0,8,1,14.5,8,1
2021/3/26,0,1,8,1,14.5,8,1
2021/3/27,0,1,8,1,13.7,8,1
2021/3/28,8.0,0,8,1,16.5,8,1
2021/3/29,34.5,0,8,1,17.5,8,1
2021/3/30,0,1,8,1,17.8,8,1
2021/3/31,0.0,0,8,1,17.9,8,1
2021/4/1,0.0,0,8,1,16.6,8,1
2021/4/2,0.0,0,8,1,16.0,8,1
2021/4/3,0,1,8,1,16.9,8,1
2021/4/4,10.5,0,8,1,18.5,8,1
2021/4/5,18.0,0,8,1,12.9,8,1
2021/4/6,0,1,8,1,10.6,8,1
2021/4/7,0.0,0,8,1,13.3,8,1
2021/4/8,2.5,0,8,1,13.3,8,1
2021/4/9,0.0,0,8,1,11.9,8,1
2021/4/10,0.0,0,8,1,10.4,8,1
2021/4/11,0,1,8,1,12.5,8,1
2021/4/12,0,1,8,1,14.4,8,1
2021/4/13,0.5,0,8,1,15.7,8,1
2021/4/14,36.0,0,8,1,15.3,8,1
2021/4/15,0.0,0,8,1,10.7,8,1
2021/4/16,0.0,0,8,1,13.7,8,1
2021/4/17,33.5,0,8,1,15.7,8,1
2021/4/18,15.0,0,8,1,16.4,8,1
2021/4/19,0,1,8,1,15.8,8,1
2021/4/20,0,1,8,1,17.2,8,1
2021/4/21,0,1,8,1,19.1,8,1
2021/4/22,0,1,8,1,18.1,8,1
2021/4/23,0,1,8,1,13.8,8,1
2021/4/24,0,1,8,1,15.3,8,1
2021/4/25,0.0,0,8,1,16.9,8,1
2021/4/26,0,1,8,1,13.4,8,1
2021/4/27,0,1,8,1,14.6,8,1
2021/4/28,0.0,0,8,1,18.2,8,1
2021/4/29,37.0,0,8,1,17.2,8,1
2021/4/30,3.0,0,8,1,18.8,8,1
2021/5/1,8.0,0,8,1,17.7,8,1
2021/5/2,2.0,0,8,1,16.3,8,1
2021/5/3,0.0,0,8,1,16.4,8,1
2021/5/4,0,1,8,1,18.0,8,1
2021/5/5,3.0,0,8,1,18.3,8,1
2021/5/6,3.5,0,8,1,18.5,8,1
2021/5/7,1.0,0,8,1,17.5,8,1
2021/5/8,0.0,0,8,1,19.5,8,1
2021/5/9,0,1,8,1,23.0,8,1
2021/5/10,0.0,0,8,1,20.2,8,1
2021/5/11,0.0,0,8,1,17.5,8,1
2021/5/12,0,1,8,1,17.9,8,1
2021/5/13,12.0,0,8,1,16.1,8,1
2021/5/14,0.0,0,8,1,20.8,8,1
2021/5/15,0,1,8,1,21.2,8,1
2021/5/16,1.0,0,8,1,20.0,8,1
2021/5/17,0.5,0,8,1,23.0,8,1
2021/5/18,1.0,0,8,1,20.5,8,1
2021/5/19,9.5,0,8,1,17.2,8,1
2021/5/20,2.0,0,8,1,19.1,8,1
2021/5/21,5.0,0,8,1,21.7,8,1
2021/5/22,2.0,0,8,1,20.0,8,1
2021/5/23,5.5,0,8,1,19.6,8,1
2021/5/24,0.0,0,8,1,22.1,8,1
2021/5/25,0,1,8,1,22.4,8,1
2021/5/26,0,1,8,1,21.1,8,1
2021/5/27,35.5,0,8,1,16.9,8,1
2021/5/28,0,1,8,1,20.5,8,1
2021/5/29,0,1,8,1,22.8,8,1
2021/5/30,0.5,0,8,1,21.2,8,1
2021/5/31,7.5,0,8,1,20.6,8,1
2021/6/1,0.5,0,8,1,20.1,8,1
2021/6/2,0,1,8,1,22.0,8,1
2021/6/3,3.0,0,8,1,22.1,8,1
2021/6/4,23.0,0,8,1,21.0,8,1
2021/6/5,0.0,0,8,1,22.1,8,1
2021/6/6,0.5,0,8,1,21.7,8,1
2021/6/7,0.0,0,8,1,23.4,8,1
2021/6/8,0.0,0,8,1,24.8,8,1
2021/6/9,0,1,8,1,24.5,8,1
2021/6/10,0,1,8,1,24.1,8,1
2021/6/11,0,1,8,1,23.7,8,1
2021/6/12,0,1,8,1,23.3,8,1
2021/6/13,0.0,0,8,1,24.3,8,1
2021/6/14,3.5,0,8,1,21.0,8,1
2021/6/15,1.0,0,8,1,23.4,8,1
2021/6/16,30.5,0,8,1,22.2,8,1
2021/6/17,3.5,0,8,1,21.8,8,1
2021/6/18,0.0,0,8,1,22.8,8,1
2021/6/19,12.0,0,8,1,20.3,8,1
2021/6/20,14.5,0,8,1,22.8,8,1
2021/6/21,0,1,8,1,22.9,8,1
2021/6/22,0,1,8,1,23.1,8,1
2021/6/23,1.5,0,8,1,22.0,8,1
2021/6/24,0.0,0,8,1,22.8,8,1
2021/6/25,19.0,0,8,1,23.3,8,1
2021/6/26,0.0,0,8,1,24.2,8,1
2021/6/27,0.0,0,8,1,23.7,8,1
