,日付,国内の感染者数_1日ごとの発表数,国内の感染者数_累計,国内の死者数_1日ごとの発表数,国内の死者数_累計,降水量の合計(mm),平均気温(℃),各地の感染者数_1日ごとの発表数,各地の死者数_1日ごとの発表数
0,2020/1/16,1,1,0,0,0.0,6.7,0,0
1,2020/1/17,0,1,0,0,0.0,7.3,0,0
2,2020/1/18,0,1,0,0,8.5,3.8,0,0
3,2020/1/19,0,1,0,0,0.0,6.5,0,0
4,2020/1/20,0,1,0,0,0.0,7.5,0,0
5,2020/1/21,0,1,0,0,0.0,7.4,0,0
6,2020/1/22,0,1,0,0,0.0,4.9,0,0
7,2020/1/23,0,1,0,0,2.5,6.1,0,0
8,2020/1/24,1,2,0,0,0.0,9.9,1,0
9,2020/1/25,1,3,0,0,0.0,7.8,1,0
10,2020/1/26,1,4,0,0,6.0,5.0,0,0
11,2020/1/27,0,4,0,0,5.0,5.1,0,0
12,2020/1/28,3,7,0,0,55.5,4.4,0,0
13,2020/1/29,1,8,0,0,28.0,11.8,0,0
14,2020/1/30,6,14,0,0,0.0,11.7,1,0
15,2020/1/31,3,17,0,0,0.0,8.1,0,0
16,2020/2/1,3,20,0,0,0.0,7.9,0,0
17,2020/2/2,0,20,0,0,0.0,8.7,0,0
18,2020/2/3,0,20,0,0,0.0,9.3,0,0
19,2020/2/4,3,23,0,0,0.0,7.9,0,0
20,2020/2/5,2,25,0,0,0.0,7.6,0,0
21,2020/2/6,0,25,0,0,0.0,2.9,0,0
22,2020/2/7,0,25,0,0,0.0,2.4,0,0
23,2020/2/8,1,26,0,0,0.0,6.2,0,0
24,2020/2/9,0,26,0,0,0.0,3.9,0,0
25,2020/2/10,0,26,0,0,0.0,4.6,0,0
26,2020/2/11,2,28,0,0,0.0,6.3,0,0
27,2020/2/12,1,29,0,0,0.0,8.7,0,0
28,2020/2/13,4,33,1,1,0.0,11.7,1,0
29,2020/2/14,8,41,0,1,0.0,12.0,2,0
30,2020/2/15,12,53,0,1,0.0,12.4,8,0
31,2020/2/16,6,59,0,1,8.5,9.3,5,0
32,2020/2/17,7,66,0,1,0.0,10.3,0,0
33,2020/2/18,8,74,0,1,0.0,7.6,3,0
34,2020/2/19,10,84,0,1,0.0,8.1,3,0
35,2020/2/20,10,94,0,1,0.0,9.0,0,0
36,2020/2/21,15,109,0,1,0.0,10.0,3,0
37,2020/2/22,26,135,0,1,2.5,12.5,1,0
38,2020/2/23,12,147,0,1,0.0,10.4,0,0
39,2020/2/24,13,160,0,1,0.0,9.8,3,0
40,2020/2/25,11,171,0,1,0.0,10.5,0,0
41,2020/2/26,18,189,2,3,3.0,8.1,3,1
42,2020/2/27,25,214,1,4,0.0,7.0,1,0
43,2020/2/28,19,233,1,5,0.0,7.0,0,0
44,2020/2/29,9,242,0,5,1.0,9.4,1,0
45,2020/3/1,14,256,1,6,0.5,12.0,2,0
46,2020/3/2,18,274,0,6,10.0,7.3,0,0
47,2020/3/3,19,293,0,6,0.0,11.3,1,0
48,2020/3/4,36,329,0,6,1.5,8.9,4,0
49,2020/3/5,32,361,0,6,1.0,9.2,8,0
50,2020/3/6,56,417,0,6,0.0,9.4,6,0
51,2020/3/7,44,461,0,6,1.5,7.3,6,0
52,2020/3/8,33,494,1,7,6.0,7.2,0,0
53,2020/3/9,28,522,2,9,0.0,13.1,0,1
54,2020/3/10,59,581,3,12,24.5,14.7,3,0
55,2020/3/11,53,634,3,15,0.0,15.3,6,0
56,2020/3/12,56,690,4,19,0.0,11.4,2,0
57,2020/3/13,34,724,2,21,0.0,12.5,2,0
58,2020/3/14,63,787,1,22,25.0,5.5,10,0
59,2020/3/15,31,818,2,24,0.0,7.1,3,0
60,2020/3/16,17,835,4,28,0.0,7.1,0,0
61,2020/3/17,45,880,1,29,0.0,7.7,12,0
62,2020/3/18,41,921,2,31,0.0,11.9,9,0
63,2020/3/19,40,961,2,33,1.0,14.6,7,0
64,2020/3/20,54,1015,2,35,0.0,14.5,11,1
65,2020/3/21,39,1054,1,36,0.0,13.8,7,1
66,2020/3/22,48,1102,5,41,0.0,16.8,3,0
67,2020/3/23,39,1141,1,42,0.0,10.3,16,0
68,2020/3/24,72,1213,1,43,0.0,8.2,18,1
69,2020/3/25,96,1309,2,45,0.0,10.0,41,0
70,2020/3/26,93,1402,2,47,0.0,13.0,46,0
71,2020/3/27,123,1525,5,52,0.0,16.2,40,1
72,2020/3/28,202,1727,3,55,8.5,15.5,64,1
73,2020/3/29,173,1900,1,56,51.5,3.6,72,1
74,2020/3/30,93,1993,3,59,0.0,7.6,12,1
75,2020/3/31,241,2234,7,66,0.0,9.8,78,7
76,2020/4/1,268,2502,3,69,31.0,11.4,67,0
77,2020/4/2,279,2781,4,73,0.0,13.9,98,0
78,2020/4/3,357,3138,4,77,0.0,12.8,92,2
